SCHOOL,STATE,CITY,PROGRAM,DEPARTMENT,PGRM_CAT,DEPT_CAT,TYPE,DELIVERY,LINK
Albright College,Pennsylvania,Reading,m.s. in business intelligence,erivan k. haub school of business,BI Analytics,dept business,MS,Online,http://www.albright.edu/accelerated/masters-degree-articulations.html
American Sentinel University,Colorado,Aurora,master of science business intelligence and analytics (msbia),not available,BI Analytics,NA,MS,Online,http://www.americansentinel.edu/management/m-s-business-intelligence
American University,District of Columbia,Washington,online mba with analytics concentration,kogod school of business,NA,dept business,MBA,Online,https://onlinebusiness.american.edu/admissions/
American University,District of Columbia,Washington,master of science in  analytics,kogod school of business,NA,dept business,MS,Online,http://www.american.edu/kogod/graduate/MS-ANLT.cfm
Arizona State University,Arizona,Tempe,master of science in business analytics,w.p. carey school of business,BI Analytics,dept business,MS,Campus or online,https://programs.wpcarey.asu.edu/masters-programs/business-analytics
Aspen University,Colorado,Denver,master of science in technology and innovation - business intelligence and data management,not available,BI Analytics,NA,MS,Online,http://www.aspen.edu/degrees/masters-degree/master-of-science-in-technology-and-innovation-business-intelligence-and-data-management
Auburn University,Alabama,Auburn University,online master of business administration with concentration in business analytics,raymond j. harbert college of business,BI Analytics,dept business,MBA,Online,http://harbert.auburn.edu/academics/online-programs/mba-online/index.php
Aurora University,Illinois,Aurora,master of science in digital marketing and analytics,dunham school of business,NA,dept business,MS,Campus,http://www.aurora.edu/academics/graduate/marketing/index.html
Austin Peay State University,Tennessee,Clarksville,professional science master's in data management and analysis,department of computer science and information technology,NA,dept cs,M,Online,http://www.apsu.edu/admissions/apply
Austin Peay State University,Tennessee,Clarksville,professional science master's in data management and analysis,department of computer science and information technology,NA,dept tech,M,Online,http://www.apsu.edu/admissions/apply
Austin Peay State University,Tennessee,Clarksville,professional science master's degree in predictive analytics,department of mathematics and statistics,NA,dept math,M,Online,https://www.apsu.edu/csci/psm-information
Austin Peay State University,Tennessee,Clarksville,professional science master's degree in predictive analytics,department of mathematics and statistics,NA,dept stats,M,Online,https://www.apsu.edu/csci/psm-information
Babson College,Massachusetts,Wellesley,mba with business analytics concentration,f.w. olin graduate school of business,BI Analytics,dept business,MBA,Campus,http://www.babson.edu/academics/graduate/mba/concentrations/pages/business-analytics.aspx
Baker College,Michigan,Allen Park,mba in business intelligence,baker college,BI Analytics,NA,MBA,Online,http://www.baker.edu/programs-degrees/business-intelligence-master-ba/
Bay Path University,Massachusetts,Longmeadow,ms in applied data science,graduate school,DS,NA,MS,Campus or online,http://www.baypath.edu/academics/graduate-programs/applied-data-science-ms/
Bellevue College,Washington,Bellevue,healthcare data analyst certificate,bellevue college continuing education,NA,NA,C,Campus,http://www.bellevuecollege.edu/ce/healthcare-classes/healthcare-data-analyst-certificate/
Bellevue University,Nebraska,Bellevue,master of professional science in technology innovation with focus in bioinformatics,college of science and technology,NA,dept tech,M,Online,http://www.bellevue.edu/degrees/graduate/innovation-entrepreneurship-mps/major-requirements.aspx
Bellevue University,Nebraska,Bellevue,master of science-business analytics,college of science and technology,BI Analytics,dept tech,MS,Online,http://www.bellevue.edu/degrees/master/innovation-entrepreneurship-mps/#
Benedictine University,Illinois,Lisle,master of science in business analytics,college of business,BI Analytics,dept business,MS,Campus,http://www.ben.edu/academic_programs/majorsheets/upload/MSBA_2013.pdf
Bentley University,Massachusetts,Waltham,graduate certificate in marketing analytics,graduate school of business,NA,dept business,C,Campus,http://www.bentley.edu/graduate/admission-financial-aid/tuition-financial-aid
Bentley University,Massachusetts,Waltham,emerging leaders mba - business analytics,graduate school of business,BI Analytics,dept business,MBA,Campus,http://www.bentley.edu/graduate/concentrations/business-analytics
Bentley University,Massachusetts,Waltham,emerging leaders mba - information systems and technology,graduate school of business,IT IS,dept business,MBA,Campus,http://www.bentley.edu/graduate/admission-financial-aid/application-process
Bentley University,Massachusetts,Waltham,graduate certificate in business analytics,graduate school of business,BI Analytics,dept business,C,Campus,http://www.bentley.edu/graduate/mba-programs/elmba/curriculum
